INDEX;EVENT_ID;EVENT_NAME;EVENT_INDEX;PARAGRAPH_ID;PARAGRAPH_INDEX;STRING_ID;STRING_INDEX;TEXT_ORIGINAL;TEXT_TRADUZIDO
0;0BD4496A;FOX_PROLOGUE_001;0;0;0;0;0;Mi nombre es Fox McCloud.;Meu nome é Fox McCloud.
1;0BD4496A;FOX_PROLOGUE_001;0;0;0;1;1;;
2;0BD4496A;FOX_PROLOGUE_001;0;0;0;2;2;Soy el líder de Star Fox, una unidad de;Eu sou o líder da Star Fox, uma unidade
3;0BD4496A;FOX_PROLOGUE_001;0;0;0;3;3;mercenarios fundada por el expiloto de;mercenária fundada pelo ex-piloto
4;0BD4496A;FOX_PROLOGUE_001;0;0;0;4;4;élite del ejército de Corneria James;elite do Exército Corneriano, James
5;0BD4496A;FOX_PROLOGUE_001;0;0;0;5;5;McCloud... Mi padre.;McCloud... Meu pai.
6;0BD4496A;FOX_PROLOGUE_001;0;0;0;6;6;;
7;0BD4496A;FOX_PROLOGUE_001;0;0;0;7;7;Hace cinco años, el general Pepper, del ejército;Cinco anos atrás, o General Pepper do exército
8;0BD4496A;FOX_PROLOGUE_001;0;0;0;8;8;de Corneria, contrató a James McCloud para;Corneriano contratou James McCloud para
9;0BD4496A;FOX_PROLOGUE_001;0;0;0;9;9;que investigara actividades sospechosas en;investigar atividades suspeitas no
10;0BD4496A;FOX_PROLOGUE_001;0;0;0;10;10;el planeta Venom. Mi padre jamás regresó.;planeta Venom. Meu pai nunca retornou.
11;0BD4496A;FOX_PROLOGUE_001;0;0;0;11;11;;
12;0BD4496A;FOX_PROLOGUE_001;0;0;0;12;12;Venom. Un inhóspito planeta al que huyó;Venom. Um planeta inóspito para onde
13;0BD4496A;FOX_PROLOGUE_001;0;0;0;13;13;Andross, el científico loco que fue expulsado;Andross, o cientista louco expulso
14;0BD4496A;FOX_PROLOGUE_001;0;0;0;14;14;de la Federación de Corneria.;da Federação Corneriana, fugiu.
15;0BD4496A;FOX_PROLOGUE_001;0;0;0;15;15;;
16;0BD4496A;FOX_PROLOGUE_001;0;0;0;16;16;A mi padre lo acompañaron otros dos pilotos;Meu pai foi acompanhado na missão por outros
17;0BD4496A;FOX_PROLOGUE_001;0;0;0;17;17;en la misión: Peppy Hare, su mejor amigo,;dois pilotos: Peppy Hare, seu melhor amigo,
18;0BD4496A;FOX_PROLOGUE_001;0;0;0;18;18;y Pigma Dengar, un soldado de dudosa;e Pigma Dengar, um soldado de reputação
19;0BD4496A;FOX_PROLOGUE_001;0;0;0;19;19;reputación que se ofreció voluntario.;duvidosa que se ofereceu como voluntário.
20;12DD18D0;FOX_PROLOGUE_002;1;0;0;0;0;En aquel momento, nadie podía imaginar que;naquela época, ninguém poderia imaginar que Pigma
21;12DD18D0;FOX_PROLOGUE_002;1;0;0;1;1;Pigma trabajaba en secreto para Andross.;estivesse trabalhando secretamente para Andross.
22;12DD18D0;FOX_PROLOGUE_002;1;0;0;2;2;;
23;12DD18D0;FOX_PROLOGUE_002;1;0;0;3;3;Traicionó a Peppy y a mi padre,;Ele traiu Peppy e meu pai, e os
24;12DD18D0;FOX_PROLOGUE_002;1;0;0;4;4;y los condujo directos a una trampa.;levou direto para uma armadilha.
25;12DD18D0;FOX_PROLOGUE_002;1;0;0;5;5;;
26;12DD18D0;FOX_PROLOGUE_002;1;0;0;6;6;Aprovechando un momento de descuido,;Aproveitando um momento de desatenção,
27;12DD18D0;FOX_PROLOGUE_002;1;0;0;7;7;mi padre consiguió ayudar a Peppy a escapar.;meu pai conseguiu ajudar Peppy a escapar.
28;12DD18D0;FOX_PROLOGUE_002;1;0;0;8;8;;
29;12DD18D0;FOX_PROLOGUE_002;1;0;0;9;9;Peppy pudo regresar a Corneria con vida,;Peppy conseguiu retornar vivo a Corneria
30;12DD18D0;FOX_PROLOGUE_002;1;0;0;10;10;y relató el heroico acto de James McCloud.;e relatou o ato heroico de James McCloud.
31;12DD18D0;FOX_PROLOGUE_002;1;0;0;11;11;;
32;12DD18D0;FOX_PROLOGUE_002;1;0;0;12;12;Asimismo, comunicó que Andross estaba;Ele também relatou que Andross estava
