INDEX;EVENT_ID;EVENT_NAME;EVENT_INDEX;PARAGRAPH_ID;PARAGRAPH_INDEX;STRING_ID;STRING_INDEX;TEXT_ORIGINAL;TEXT_TRADUZIDO
0;170D6C47;FOX_AREA3_001;0;0;0;0;0;Pigma nos ha hecho perder;O Pigma nos fez perder
1;170D6C47;FOX_AREA3_001;0;0;0;1;1;el tiempo. ¡Rápido, a la colonia!;tempo. Rápido, vamos para a colônia!
2;79030D6B;FOX_AREA3_003;1;0;0;0;0;No puede ser... ¡Pigma!;Não pode ser... Pigma!
3;79030D6B;FOX_AREA3_003;1;0;0;1;1;¿A qué has venido?;Por que você veio aqui?
4;676798C8;FOX_AREA3_004;2;0;0;0;0;¡Cambiando a modo abierto!;Mudando para o modo aberto!
5;676798C8;FOX_AREA3_004;2;0;0;1;1;¡Pasemos a la acción!;Vamos começar a trabalhar!
6;1060A85E;FOX_AREA3_005;3;0;0;0;0;¡Defended la colonia!;Defendam a colônia!
7;0969F9E4;FOX_AREA3_006;4;0;0;0;0;¡Voy a entrar en el teleportador!;Vou entrar no teletransportador!
8;7E6EC972;FOX_AREA3_007;5;0;0;0;0;¿Qué hacía Andrew aquí?;O que o Andrew estava fazendo aqui?
9;6ED1D4E3;FOX_AREA3_008;6;0;0;0;0;¡¿Dónde estoy?!;Onde estou?!
10;19D6E475;FOX_AREA3_009;7;0;0;0;0;¡Recibido!;Entendido!
11;06242C83;FALCO_AREA3_001;8;0;0;0;0;¡Apuesto a que me cargo;Aposto que consigo derrubar muito
12;06242C83;FALCO_AREA3_001;8;0;0;1;1;unos cuantos más que tú, Fox!;mais gente do que você, Fox!
13;1F2D7D39;FALCO_AREA3_002;9;0;0;0;0;¡Rápido, Fox!;Rápido, Fox!
14;1F2D7D39;FALCO_AREA3_002;9;0;0;1;1;¡Ve a ese dichoso hangar!;Vá para aquele maldito hangar!
15;682A4DAF;FALCO_AREA3_003;10;0;0;0;0;¡Espabila, Fox! ¡Andross;Acorda, Fox! Andross
16;682A4DAF;FALCO_AREA3_003;10;0;0;1;1;se está llevando el Gigarila!;está levando o Gigarila!
17;764ED80C;FALCO_AREA3_004;11;0;0;0;0;¡Lo tienes detrás!;Ele está atrás de você!
18;764ED80C;FALCO_AREA3_004;11;0;0;1;1;¡Fija el objetivo en esa sabandija!;Mire nessa criatura nojenta!
19;0149E89A;FALCO_AREA3_005;12;0;0;0;0;¡Fox, deja de perder el tiempo;Fox, pare de perder tempo
20;0149E89A;FALCO_AREA3_005;12;0;0;1;1;y baja al hangar de una vez!;e desça para o hangar logo!
21;1840B920;FALCO_AREA3_006;13;0;0;0;0;¡No contaban con nosotros!;Eles não contavam conosco!
22;6F4789B6;FALCO_AREA3_007;14;0;0;0;0;¡No la pifies!;Não dá mancada!
